Warning: Forcing loader_workers=0 to avoid multiprocessing issues (was 7)
Starting experiment
Using device: mps
Using Apple Metal Performance Shaders (MPS)
task: Task.NEIGHBORS_MATCH
type: GNN_TYPE.GAT
dim: 32
depth: 4
num_layers: 5
train_fraction: 0.8
max_epochs: 50000
eval_every: 100
batch_size: 1024
accum_grad: 1
stop: STOP.TRAIN
patience: 20
loader_workers: 7
last_layer_fully_adjacent: False
no_layer_norm: False
no_activation: False
no_residual: False
unroll: False

Training examples: 12800, test examples: 3200
Starting training
/Users/nilscollins/Documents/TUM/bottleneck/experiment.py:111: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  loader = DataLoader(self.X_train, batch_size=self.batch_size, shuffle=True,
Epoch 6800, LR: [0.001]: Train loss: 1.0507061, Train acc: 0.6459, Test accuracy: 0.5563 (new best train)
Epoch 6900, LR: [0.001]: Train loss: 1.0542682, Train acc: 0.6451, Test accuracy: 0.5544
Epoch 7000, LR: [0.001]: Train loss: 1.0389482, Train acc: 0.6499, Test accuracy: 0.5584 (new best train)
Epoch 7100, LR: [0.001]: Train loss: 1.0362253, Train acc: 0.6521, Test accuracy: 0.5575 (new best train)
Epoch 7200, LR: [0.001]: Train loss: 1.0266972, Train acc: 0.6537, Test accuracy: 0.5641 (new best train)
Epoch 7300, LR: [0.001]: Train loss: 1.0164921, Train acc: 0.6576, Test accuracy: 0.5647 (new best train)
Epoch 7400, LR: [0.001]: Train loss: 1.0030954, Train acc: 0.6607, Test accuracy: 0.5653 (new best train)
Epoch 7500, LR: [0.001]: Train loss: 0.9942947, Train acc: 0.6646, Test accuracy: 0.5759 (new best train)
Epoch 7600, LR: [0.001]: Train loss: 0.9731104, Train acc: 0.6711, Test accuracy: 0.5697 (new best train)
Epoch 7700, LR: [0.001]: Train loss: 0.9686954, Train acc: 0.6738, Test accuracy: 0.5863 (new best train)
Epoch 7800, LR: [0.001]: Train loss: 0.9412057, Train acc: 0.6839, Test accuracy: 0.5581 (new best train)
Epoch 7900, LR: [0.001]: Train loss: 0.9355474, Train acc: 0.6863, Test accuracy: 0.5953 (new best train)
Epoch 8000, LR: [0.001]: Train loss: 0.9195204, Train acc: 0.6915, Test accuracy: 0.5863 (new best train)
Epoch 8100, LR: [0.001]: Train loss: 0.9104985, Train acc: 0.6956, Test accuracy: 0.5922 (new best train)
Epoch 8200, LR: [0.001]: Train loss: 0.9008285, Train acc: 0.6992, Test accuracy: 0.5925 (new best train)
Epoch 8300, LR: [0.001]: Train loss: 0.8932241, Train acc: 0.7013, Test accuracy: 0.5884 (new best train)
Epoch 8400, LR: [0.001]: Train loss: 0.8793851, Train acc: 0.7058, Test accuracy: 0.6031 (new best train)
Epoch 8500, LR: [0.001]: Train loss: 0.8770433, Train acc: 0.7080, Test accuracy: 0.6062 (new best train)
Epoch 8600, LR: [0.001]: Train loss: 0.8646952, Train acc: 0.7110, Test accuracy: 0.6109 (new best train)
Epoch 8700, LR: [0.001]: Train loss: 0.8706517, Train acc: 0.7102, Test accuracy: 0.6056
Epoch 8800, LR: [0.001]: Train loss: 0.8462347, Train acc: 0.7180, Test accuracy: 0.6047 (new best train)
Epoch 8900, LR: [0.001]: Train loss: 0.8478514, Train acc: 0.7174, Test accuracy: 0.6006
Epoch 9000, LR: [0.001]: Train loss: 0.8434059, Train acc: 0.7188, Test accuracy: 0.6097 (new best train)
Epoch 9100, LR: [0.001]: Train loss: 0.8342749, Train acc: 0.7222, Test accuracy: 0.6147 (new best train)
Epoch 9200, LR: [0.001]: Train loss: 0.8340165, Train acc: 0.7225, Test accuracy: 0.6178 (new best train)
Epoch 9300, LR: [0.001]: Train loss: 0.8249525, Train acc: 0.7257, Test accuracy: 0.6138 (new best train)
Epoch 9400, LR: [0.001]: Train loss: 0.8189772, Train acc: 0.7277, Test accuracy: 0.6209 (new best train)
Epoch 9500, LR: [0.001]: Train loss: 0.8140183, Train acc: 0.7291, Test accuracy: 0.6153 (new best train)
Epoch 9600, LR: [0.001]: Train loss: 0.8085743, Train acc: 0.7312, Test accuracy: 0.6225 (new best train)
Epoch 9700, LR: [0.001]: Train loss: 0.8018038, Train acc: 0.7330, Test accuracy: 0.6206 (new best train)
Epoch 9800, LR: [0.001]: Train loss: 0.7942905, Train acc: 0.7359, Test accuracy: 0.6228 (new best train)
Epoch 9900, LR: [0.001]: Train loss: 0.7963371, Train acc: 0.7358, Test accuracy: 0.6250
Epoch 10000, LR: [0.001]: Train loss: 0.7853659, Train acc: 0.7398, Test accuracy: 0.6334 (new best train)
Epoch 10100, LR: [0.001]: Train loss: 0.7656915, Train acc: 0.7467, Test accuracy: 0.6225 (new best train)
Epoch 10200, LR: [0.001]: Train loss: 0.7746862, Train acc: 0.7453, Test accuracy: 0.6344
Epoch 10300, LR: [0.001]: Train loss: 0.7618392, Train acc: 0.7476, Test accuracy: 0.6431 (new best train)
Epoch 10400, LR: [0.001]: Train loss: 0.7562315, Train acc: 0.7497, Test accuracy: 0.6412 (new best train)
Epoch 10500, LR: [0.001]: Train loss: 0.7455545, Train acc: 0.7538, Test accuracy: 0.6447 (new best train)
Epoch 10600, LR: [0.001]: Train loss: 0.7453369, Train acc: 0.7530, Test accuracy: 0.6366
Epoch 10700, LR: [0.001]: Train loss: 0.7301491, Train acc: 0.7577, Test accuracy: 0.6556 (new best train)
Epoch 10800, LR: [0.001]: Train loss: 0.7283754, Train acc: 0.7579, Test accuracy: 0.6562 (new best train)
Epoch 10900, LR: [0.001]: Train loss: 0.7194432, Train acc: 0.7616, Test accuracy: 0.6553 (new best train)
Epoch 11000, LR: [0.001]: Train loss: 0.7113755, Train acc: 0.7634, Test accuracy: 0.6544 (new best train)
Epoch 11100, LR: [0.001]: Train loss: 0.7114291, Train acc: 0.7634, Test accuracy: 0.6622
Epoch 11200, LR: [0.001]: Train loss: 0.6968859, Train acc: 0.7681, Test accuracy: 0.6597 (new best train)
Epoch 11300, LR: [0.001]: Train loss: 0.6915849, Train acc: 0.7692, Test accuracy: 0.6572 (new best train)
Epoch 11400, LR: [0.001]: Train loss: 0.6971885, Train acc: 0.7677, Test accuracy: 0.6663
Epoch 11500, LR: [0.001]: Train loss: 0.6768753, Train acc: 0.7741, Test accuracy: 0.6637 (new best train)
Epoch 11600, LR: [0.001]: Train loss: 0.6763106, Train acc: 0.7734, Test accuracy: 0.6656
Epoch 11700, LR: [0.001]: Train loss: 0.6765406, Train acc: 0.7750, Test accuracy: 0.6669 (new best train)
Epoch 11800, LR: [0.001]: Train loss: 0.6743621, Train acc: 0.7746, Test accuracy: 0.6703
Epoch 11900, LR: [0.001]: Train loss: 0.6525238, Train acc: 0.7818, Test accuracy: 0.6722 (new best train)
Epoch 12000, LR: [0.001]: Train loss: 0.6579622, Train acc: 0.7790, Test accuracy: 0.6734
Epoch 12100, LR: [0.001]: Train loss: 0.6528234, Train acc: 0.7808, Test accuracy: 0.6684
Epoch 12200, LR: [0.001]: Train loss: 0.6520119, Train acc: 0.7819, Test accuracy: 0.6766 (new best train)
Epoch 12300, LR: [0.001]: Train loss: 0.6436705, Train acc: 0.7849, Test accuracy: 0.6800 (new best train)
Epoch 12400, LR: [0.001]: Train loss: 0.6331777, Train acc: 0.7874, Test accuracy: 0.6734 (new best train)
Epoch 12500, LR: [0.001]: Train loss: 0.6364310, Train acc: 0.7873, Test accuracy: 0.6816
Epoch 12600, LR: [0.001]: Train loss: 0.6236296, Train acc: 0.7906, Test accuracy: 0.6872 (new best train)
Epoch 12700, LR: [0.001]: Train loss: 0.6204020, Train acc: 0.7920, Test accuracy: 0.6809 (new best train)
Epoch 12800, LR: [0.001]: Train loss: 0.6160798, Train acc: 0.7933, Test accuracy: 0.6484 (new best train)
Epoch 12900, LR: [0.001]: Train loss: 0.6116229, Train acc: 0.7952, Test accuracy: 0.6800 (new best train)
Epoch 13000, LR: [0.001]: Train loss: 0.6053699, Train acc: 0.7965, Test accuracy: 0.6825 (new best train)
Epoch 13100, LR: [0.001]: Train loss: 0.5971880, Train acc: 0.8000, Test accuracy: 0.6856 (new best train)
Epoch 13200, LR: [0.001]: Train loss: 0.6029804, Train acc: 0.7984, Test accuracy: 0.6878
Epoch 13300, LR: [0.001]: Train loss: 0.5880809, Train acc: 0.8034, Test accuracy: 0.6309 (new best train)
Epoch 13400, LR: [0.001]: Train loss: 0.5744990, Train acc: 0.8077, Test accuracy: 0.6913 (new best train)
Epoch 13500, LR: [0.001]: Train loss: 0.5814226, Train acc: 0.8058, Test accuracy: 0.6969
Epoch 13600, LR: [0.001]: Train loss: 0.5671523, Train acc: 0.8099, Test accuracy: 0.6919 (new best train)
Epoch 13700, LR: [0.001]: Train loss: 0.5602910, Train acc: 0.8116, Test accuracy: 0.6294 (new best train)
Epoch 13800, LR: [0.001]: Train loss: 0.5578491, Train acc: 0.8125, Test accuracy: 0.6541 (new best train)
Epoch 13900, LR: [0.001]: Train loss: 0.5450881, Train acc: 0.8160, Test accuracy: 0.6875 (new best train)
Epoch 14000, LR: [0.001]: Train loss: 0.5320247, Train acc: 0.8205, Test accuracy: 0.6991 (new best train)
Epoch 14100, LR: [0.001]: Train loss: 0.5267542, Train acc: 0.8218, Test accuracy: 0.7081 (new best train)
Epoch 14200, LR: [0.001]: Train loss: 0.5244466, Train acc: 0.8228, Test accuracy: 0.7078 (new best train)
Epoch 14300, LR: [0.001]: Train loss: 0.4998583, Train acc: 0.8310, Test accuracy: 0.7116 (new best train)
Epoch 14400, LR: [0.001]: Train loss: 0.5069375, Train acc: 0.8292, Test accuracy: 0.7128
Epoch 14500, LR: [0.001]: Train loss: 0.4847795, Train acc: 0.8357, Test accuracy: 0.7100 (new best train)
Epoch 14600, LR: [0.001]: Train loss: 0.4833469, Train acc: 0.8365, Test accuracy: 0.7097 (new best train)
Epoch 14700, LR: [0.001]: Train loss: 0.4768946, Train acc: 0.8389, Test accuracy: 0.7262 (new best train)
Epoch 14800, LR: [0.001]: Train loss: 0.4541966, Train acc: 0.8464, Test accuracy: 0.7234 (new best train)
Epoch 14900, LR: [0.001]: Train loss: 0.4567487, Train acc: 0.8460, Test accuracy: 0.7362
Epoch 15000, LR: [0.001]: Train loss: 0.4456309, Train acc: 0.8496, Test accuracy: 0.7400 (new best train)
Epoch 15100, LR: [0.001]: Train loss: 0.4299498, Train acc: 0.8546, Test accuracy: 0.7219 (new best train)
Epoch 15200, LR: [0.001]: Train loss: 0.4377167, Train acc: 0.8534, Test accuracy: 0.7431
Epoch 15300, LR: [0.001]: Train loss: 0.4126787, Train acc: 0.8607, Test accuracy: 0.7453 (new best train)
Epoch 15400, LR: [0.001]: Train loss: 0.4130370, Train acc: 0.8597, Test accuracy: 0.7500
Epoch 15500, LR: [0.001]: Train loss: 0.4117431, Train acc: 0.8615, Test accuracy: 0.7528 (new best train)
Epoch 15600, LR: [0.001]: Train loss: 0.3895835, Train acc: 0.8682, Test accuracy: 0.7519 (new best train)
Epoch 15700, LR: [0.001]: Train loss: 0.3926113, Train acc: 0.8669, Test accuracy: 0.7525
Epoch 15800, LR: [0.001]: Train loss: 0.3950843, Train acc: 0.8665, Test accuracy: 0.7634
Epoch 15900, LR: [0.001]: Train loss: 0.3824655, Train acc: 0.8709, Test accuracy: 0.7609 (new best train)
Epoch 16000, LR: [0.001]: Train loss: 0.3846409, Train acc: 0.8710, Test accuracy: 0.7644 (new best train)
Epoch 16100, LR: [0.001]: Train loss: 0.3600393, Train acc: 0.8784, Test accuracy: 0.7619 (new best train)
Epoch 16200, LR: [0.001]: Train loss: 0.3643964, Train acc: 0.8769, Test accuracy: 0.7738
Epoch 16300, LR: [0.001]: Train loss: 0.3639613, Train acc: 0.8780, Test accuracy: 0.7709
Epoch 16400, LR: [0.001]: Train loss: 0.3510530, Train acc: 0.8809, Test accuracy: 0.7669 (new best train)
Epoch 16500, LR: [0.001]: Train loss: 0.3599344, Train acc: 0.8807, Test accuracy: 0.7703
Epoch 16600, LR: [0.001]: Train loss: 0.3454457, Train acc: 0.8841, Test accuracy: 0.7703 (new best train)
Epoch 16700, LR: [0.001]: Train loss: 0.3442232, Train acc: 0.8848, Test accuracy: 0.7722 (new best train)
Epoch 16800, LR: [0.001]: Train loss: 0.3334761, Train acc: 0.8879, Test accuracy: 0.7731 (new best train)
Epoch 16900, LR: [0.001]: Train loss: 0.3329807, Train acc: 0.8884, Test accuracy: 0.7806 (new best train)
Epoch 17000, LR: [0.001]: Train loss: 0.3185068, Train acc: 0.8932, Test accuracy: 0.7734 (new best train)
Epoch 17100, LR: [0.001]: Train loss: 0.3304698, Train acc: 0.8898, Test accuracy: 0.7812
Epoch 17200, LR: [0.001]: Train loss: 0.3129196, Train acc: 0.8950, Test accuracy: 0.7247 (new best train)
Epoch 17300, LR: [0.001]: Train loss: 0.3230830, Train acc: 0.8939, Test accuracy: 0.7738
Epoch 17400, LR: [0.001]: Train loss: 0.3271247, Train acc: 0.8918, Test accuracy: 0.7841
Epoch 17500, LR: [0.001]: Train loss: 0.2926401, Train acc: 0.9026, Test accuracy: 0.7775 (new best train)
Epoch 17600, LR: [0.001]: Train loss: 0.3115847, Train acc: 0.8967, Test accuracy: 0.7872
Epoch 17700, LR: [0.001]: Train loss: 0.2972048, Train acc: 0.9010, Test accuracy: 0.7803
Epoch 17800, LR: [0.001]: Train loss: 0.2963315, Train acc: 0.9000, Test accuracy: 0.7825
Epoch 17900, LR: [0.001]: Train loss: 0.2923202, Train acc: 0.9018, Test accuracy: 0.7306
Epoch 18000, LR: [0.001]: Train loss: 0.2798479, Train acc: 0.9055, Test accuracy: 0.7837 (new best train)
Epoch 18100, LR: [0.001]: Train loss: 0.2809963, Train acc: 0.9054, Test accuracy: 0.7887
Epoch 18200, LR: [0.001]: Train loss: 0.2696712, Train acc: 0.9092, Test accuracy: 0.7897 (new best train)
Epoch 18300, LR: [0.001]: Train loss: 0.2698642, Train acc: 0.9078, Test accuracy: 0.7987
Epoch 18400, LR: [0.001]: Train loss: 0.2532445, Train acc: 0.9131, Test accuracy: 0.7966 (new best train)
Epoch 18500, LR: [0.001]: Train loss: 0.2592731, Train acc: 0.9119, Test accuracy: 0.8041
Epoch 18600, LR: [0.001]: Train loss: 0.2398196, Train acc: 0.9185, Test accuracy: 0.7975 (new best train)
Epoch 18700, LR: [0.001]: Train loss: 0.2308636, Train acc: 0.9208, Test accuracy: 0.8041 (new best train)
Epoch 18800, LR: [0.001]: Train loss: 0.2305228, Train acc: 0.9230, Test accuracy: 0.8091 (new best train)
Epoch 18900, LR: [0.001]: Train loss: 0.2174792, Train acc: 0.9251, Test accuracy: 0.8122 (new best train)
Epoch 19000, LR: [0.001]: Train loss: 0.2175221, Train acc: 0.9263, Test accuracy: 0.8128 (new best train)
Epoch 19100, LR: [0.001]: Train loss: 0.2152287, Train acc: 0.9264, Test accuracy: 0.8300 (new best train)
Epoch 19200, LR: [0.001]: Train loss: 0.1910959, Train acc: 0.9347, Test accuracy: 0.7913 (new best train)
Epoch 19300, LR: [0.001]: Train loss: 0.1963201, Train acc: 0.9326, Test accuracy: 0.8247
Epoch 19400, LR: [0.001]: Train loss: 0.1791569, Train acc: 0.9392, Test accuracy: 0.8263 (new best train)
Epoch 19500, LR: [0.001]: Train loss: 0.1826767, Train acc: 0.9381, Test accuracy: 0.8331
Epoch 19600, LR: [0.001]: Train loss: 0.1731794, Train acc: 0.9431, Test accuracy: 0.8316 (new best train)
Epoch 19700, LR: [0.001]: Train loss: 0.1698929, Train acc: 0.9429, Test accuracy: 0.8369
Epoch 19800, LR: [0.001]: Train loss: 0.1677441, Train acc: 0.9449, Test accuracy: 0.8247 (new best train)
Epoch 19900, LR: [0.001]: Train loss: 0.1563782, Train acc: 0.9468, Test accuracy: 0.8397 (new best train)
Epoch 20000, LR: [0.001]: Train loss: 0.1504926, Train acc: 0.9504, Test accuracy: 0.8422 (new best train)
Epoch 20100, LR: [0.001]: Train loss: 0.1600735, Train acc: 0.9467, Test accuracy: 0.8466
Epoch 20200, LR: [0.001]: Train loss: 0.1440842, Train acc: 0.9534, Test accuracy: 0.8337 (new best train)
Epoch 20300, LR: [0.001]: Train loss: 0.1332809, Train acc: 0.9563, Test accuracy: 0.8509 (new best train)
Epoch 20400, LR: [0.001]: Train loss: 0.1323269, Train acc: 0.9569, Test accuracy: 0.8447 (new best train)
Epoch 20500, LR: [0.001]: Train loss: 0.1395405, Train acc: 0.9567, Test accuracy: 0.8447
Epoch 20600, LR: [0.001]: Train loss: 0.1365357, Train acc: 0.9556, Test accuracy: 0.8472
Epoch 20700, LR: [0.001]: Train loss: 0.1307738, Train acc: 0.9590, Test accuracy: 0.8438 (new best train)
Epoch 20800, LR: [0.001]: Train loss: 0.1227172, Train acc: 0.9619, Test accuracy: 0.8519 (new best train)
Epoch 20900, LR: [0.001]: Train loss: 0.1086375, Train acc: 0.9657, Test accuracy: 0.8456 (new best train)
Epoch 21000, LR: [0.001]: Train loss: 0.1303608, Train acc: 0.9606, Test accuracy: 0.8519
Epoch 21100, LR: [0.001]: Train loss: 0.1066448, Train acc: 0.9682, Test accuracy: 0.7897 (new best train)
Epoch 21200, LR: [0.001]: Train loss: 0.1101202, Train acc: 0.9681, Test accuracy: 0.8519
Epoch 21300, LR: [0.001]: Train loss: 0.1065138, Train acc: 0.9683, Test accuracy: 0.8438
Epoch 21400, LR: [0.001]: Train loss: 0.1132044, Train acc: 0.9654, Test accuracy: 0.8616
Epoch 21500, LR: [0.001]: Train loss: 0.1019210, Train acc: 0.9722, Test accuracy: 0.8647 (new best train)
Epoch 21600, LR: [0.001]: Train loss: 0.0962555, Train acc: 0.9708, Test accuracy: 0.8588
Epoch 21700, LR: [0.001]: Train loss: 0.0849904, Train acc: 0.9754, Test accuracy: 0.8572 (new best train)
Epoch 21800, LR: [0.001]: Train loss: 0.0910550, Train acc: 0.9751, Test accuracy: 0.8544
Epoch 21900, LR: [0.001]: Train loss: 0.1008048, Train acc: 0.9714, Test accuracy: 0.8478
Epoch 22000, LR: [0.001]: Train loss: 0.0855824, Train acc: 0.9756, Test accuracy: 0.8631 (new best train)
Epoch 22100, LR: [0.001]: Train loss: 0.0896456, Train acc: 0.9747, Test accuracy: 0.8547
Epoch 22200, LR: [0.001]: Train loss: 0.1020995, Train acc: 0.9720, Test accuracy: 0.8263
Epoch 22300, LR: [0.001]: Train loss: 0.0608727, Train acc: 0.9854, Test accuracy: 0.8612 (new best train)
Epoch 22400, LR: [0.001]: Train loss: 0.0957497, Train acc: 0.9730, Test accuracy: 0.8578
Epoch 22500, LR: [0.001]: Train loss: 0.0785859, Train acc: 0.9795, Test accuracy: 0.7625
Epoch 22600, LR: [0.001]: Train loss: 0.0828273, Train acc: 0.9802, Test accuracy: 0.8656
Epoch 22700, LR: [0.001]: Train loss: 0.0664881, Train acc: 0.9825, Test accuracy: 0.8278
Epoch 22800, LR: [0.001]: Train loss: 0.0818346, Train acc: 0.9795, Test accuracy: 0.8644
Epoch 22900, LR: [0.001]: Train loss: 0.0767865, Train acc: 0.9816, Test accuracy: 0.8653
